Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Steven Adams\adamsst01,C,26,OKC,58,58,1564,8.2,13.8,0.591,0,0.1,0.333,8.1,13.7,0.593,3.4,5.7,0.59,6.1,10.8,16.9,4.4,1.6,2,2.7,3.5,19.7,,123,106
2,Bam Adebayo\adebaba01,PF,22,MIA,65,65,2235,8.9,15.7,0.567,0,0.3,0.077,8.9,15.5,0.576,5.2,7.5,0.69,3.6,11.3,15,7.3,1.7,1.9,4,3.6,23.1,,117,106
3,LaMarcus Aldridge\aldrila01,C,34,SAS,53,53,1754,10.7,21.7,0.493,1.7,4.3,0.389,9,17.4,0.519,4.3,5.2,0.827,2.8,7.9,10.7,3.5,1,2.4,2,3.5,27.4,,115,113
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,41,0,501,7.1,20.9,0.339,3.7,10.8,0.342,3.4,10.1,0.336,1.6,2.6,0.607,0.7,6.6,7.4,6.8,1,0.6,3.7,4.2,19.5,,91,113
5,Grayson Allen\allengr01,SG,24,MEM,30,0,498,7.4,16.5,0.449,3.1,8.5,0.363,4.3,8,0.541,2.8,3.3,0.857,0.5,5.7,6.2,4,0.6,0.1,2.2,3.4,20.7,,111,115
6,Jarrett Allen\allenja01,C,21,BRK,64,58,1647,7.7,11.9,0.646,0,0.1,0,7.7,11.8,0.654,4.2,6.8,0.62,5.6,11.8,17.4,2.4,1.1,2.4,2.1,4.1,19.6,,130,105
7,Kadeem Allen\allenka01,SG,27,NYK,10,0,117,7.9,18.3,0.432,2.1,6.7,0.313,5.8,11.7,0.5,2.9,4.6,0.636,0.8,2.9,3.7,8.7,2.1,0.8,3.3,2.9,20.8,,106,114
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,380,3.2,11,0.291,1.2,4.6,0.25,2.1,6.4,0.32,2.4,3.7,0.655,3.1,8.1,11.2,2.7,2.3,1,2.2,3.5,10,,88,107
9,Justin Anderson\anderju01,SF,26,BRK,3,0,17,2.8,16.7,0.167,0,8.4,0,2.8,8.4,0.333,2.8,5.6,0.5,0,5.6,5.6,0,0,2.8,0,5.6,8.4,,50,110
10,Kyle Anderson\anderky01,PF,26,MEM,59,20,1140,5.7,11.5,0.493,0.7,2.5,0.258,5,8.9,0.56,1.8,2.7,0.652,2.2,8.3,10.5,5.4,1.9,1.3,2.3,3.5,13.7,,111,109
11,Ryan Anderson\anderry01,PF,31,HOU,2,0,14,6.6,23.2,0.286,3.3,16.6,0.2,3.3,6.6,0.5,0,0,,0,23.2,23.2,6.6,3.3,0,3.3,3.3,16.6,,78,98
12,Giannis Antetokounmpo\antetgi01,PF,25,MIL,57,57,1763,16.2,29.5,0.547,2.2,7,0.306,14,22.5,0.622,9.4,14.8,0.633,3.4,16.9,20.3,8.5,1.5,1.5,5.4,4.5,43.8,,116,96
13,Kostas Antetokounmpo\antetko01,PF,22,LAL,3,0,5,0,0,,0,0,,0,0,,0,0,,0,9.5,9.5,9.5,0,0,0,0,0,,226,110
14,Thanasis Antetokounmpo\antetth01,SF,27,MIL,18,2,93,9.3,17.7,0.528,0,3.4,0,9.3,14.3,0.655,3.4,7.4,0.467,5.4,3.9,9.3,4.4,2.9,1,5.4,6.4,22.1,,99,101
15,Carmelo Anthony\anthoca01,PF,35,POR,50,50,1623,8.5,19.9,0.426,2.1,5.7,0.371,6.4,14.2,0.447,3.3,3.9,0.843,1.8,7.4,9.2,2.3,1.2,0.7,2.6,4.2,22.4,,102,115
16,OG Anunoby\anunoog01,SF,22,TOR,63,62,1897,6.7,13.3,0.507,2.1,5.4,0.381,4.7,7.8,0.593,1.5,2.2,0.686,1.9,6.7,8.6,2.5,2.2,1.1,1.9,3.9,17,,113,104
17,Ryan Arcidiacono\arcidry01,PG,25,CHI,58,4,930,4.7,11.4,0.409,2.8,7.1,0.391,1.9,4.2,0.439,1.4,2,0.711,1,4.7,5.7,5,1.4,0.2,1.9,5,13.5,,111,113
18,Trevor Ariza\arizatr01,SF,34,TOT,53,21,1493,4.6,10.5,0.438,2.5,6.7,0.372,2.1,3.8,0.556,2,2.4,0.838,1.1,6.9,7.9,2.9,2.2,0.5,1.8,3.6,13.7,,114,112
19,D.J. Augustin\augusdj01,PG,32,ORL,49,6,1215,6.3,15.9,0.393,2.4,7,0.345,3.9,9,0.43,5.6,6.3,0.885,0.7,3.7,4.4,9,1.2,0,2.8,2.1,20.5,,114,114
20,Deandre Ayton\aytonde01,C,21,PHO,30,25,996,12.1,22.1,0.548,0,0.1,0,12.1,22,0.552,2.9,3.7,0.769,5.8,11.3,17.1,2.7,1,2.4,3.4,4.6,27.1,,110,108
21,Dwayne Bacon\bacondw01,SG,24,CHO,39,11,687,6.2,17.8,0.348,1.4,4.9,0.284,4.8,12.9,0.373,2.6,3.9,0.66,1.1,6.2,7.3,3.8,1.7,0.1,2.7,3.8,16.3,,86,114
22,Marvin Bagley III\baglema01,PF,20,SAC,13,6,334,11.4,24.4,0.467,0.6,3.2,0.182,10.8,21.2,0.51,3.7,4.5,0.806,4.2,9.9,14.2,1.5,0.9,1.8,2.6,6.3,27,,102,110
23,Lonzo Ball\balllo01,PG,22,NOP,56,47,1817,6.6,16,0.412,3.5,9.2,0.383,3.1,6.7,0.453,1,1.7,0.567,1.6,7.2,8.8,10,2,0.8,4.4,2.8,17.7,,105,111
24,Mo Bamba\bambamo01,C,21,ORL,60,0,868,7.4,15.9,0.468,2.1,5.8,0.356,5.3,10,0.534,1.7,2.6,0.674,5.5,11.3,16.8,2.4,1.2,4.8,2.4,6.5,18.7,,111,103
25,J.J. Barea\bareajo01,PG,35,DAL,26,4,391,9.2,22.2,0.413,3.6,9.4,0.382,5.6,12.8,0.437,2.1,2.2,0.944,1.2,4.7,5.9,12.3,0.5,0.2,4.3,3.1,24,,110,115
26,Harrison Barnes\barneha02,PF,27,SAC,64,64,2231,7.1,15.5,0.459,2,5.3,0.383,5.1,10.2,0.498,4.3,5.3,0.803,1.3,5.4,6.7,3.3,0.8,0.2,1.7,1.8,20.6,,116,115
27,RJ Barrett\barrerj01,SG,19,NYK,56,55,1704,8.3,20.8,0.402,1.8,5.6,0.32,6.5,15.1,0.432,4.5,7.3,0.614,1.4,6.5,8,4.1,1.6,0.5,3.5,3.5,22.9,,95,114
28,Will Barton\bartowi01,SF,29,DEN,58,58,1916,8.6,19,0.45,2.8,7.4,0.375,5.8,11.6,0.498,2.6,3.4,0.767,2,7.4,9.4,5.5,1.6,0.7,2.3,3.1,22.5,,112,110
29,Keita Bates-Diop\bateske01,SF,24,TOT,39,0,665,6.2,14.5,0.428,2.2,6.6,0.33,4.1,8,0.509,3.4,4.8,0.71,1.5,6.4,7.8,2.1,1.2,1.5,1,2.7,18,,112,113
30,Nicolas Batum\batumni01,SF,31,CHO,22,3,505,2.8,8,0.346,1.4,4.9,0.286,1.4,3.2,0.438,0.9,1,0.9,2.5,7.4,9.9,6.5,1.7,0.8,2.2,4.1,7.8,,107,112
31,Aron Baynes\baynear01,C,33,PHO,42,28,934,9.3,19.3,0.48,3,8.5,0.351,6.3,10.8,0.582,2.8,3.8,0.747,3.6,8.4,12,3.4,0.5,1.2,2.5,7.1,24.4,,113,113
32,Kent Bazemore\bazemke01,SF-SG,30,TOT,64,21,1604,5.5,14.8,0.374,2.3,6.8,0.342,3.2,8,0.401,3.3,4.2,0.768,0.7,7.6,8.3,2.5,2.1,1.2,2.5,5.4,16.7,,96,111
33,Darius Bazley\bazleda01,PF,19,OKC,53,8,909,4.7,12.3,0.383,1.6,5.4,0.3,3.1,7,0.446,1.7,2.5,0.681,1.1,9.4,10.5,1.6,1.1,1.9,2.1,2.4,12.7,,90,108
34,Bradley Beal\bealbr01,SG,26,WAS,57,57,2053,13.5,29.6,0.455,3.9,10.9,0.353,9.6,18.7,0.515,8.8,10.4,0.842,1.2,4.3,5.5,7.9,1.6,0.5,4.4,2.9,39.6,,113,117
35,Malik Beasley\beaslma01,SG,23,TOT,55,14,1209,9.1,21.3,0.425,4.3,11,0.388,4.8,10.3,0.465,2.2,2.6,0.818,0.7,5.2,5.9,3,1.6,0.3,2.3,3.1,24.5,,105,113
36,Marco Belinelli\belinma01,SG,33,SAS,52,0,779,6.5,16.7,0.391,3.5,9.6,0.368,3,7.2,0.422,2,2.5,0.78,0.2,5.3,5.5,3.9,0.6,0.1,1,2.5,18.6,,108,118
37,Jordan Bell\belljo01,C-PF,25,TOT,29,0,256,6.4,12.2,0.522,0.7,2.2,0.333,5.6,10,0.564,3.4,5.6,0.613,5.4,9.3,14.7,2.9,0.5,1.8,3.8,3.4,16.9,,108,112
38,DeAndre' Bembry\bembrde01,SG,25,ATL,43,4,915,5.3,11.6,0.456,0.8,3.3,0.231,4.5,8.3,0.546,1.3,2.4,0.542,1.7,6,7.7,4.1,2.8,1,3.1,4.3,12.7,,95,112
39,Dragan Bender\bendedr01,SF,22,TOT,16,3,286,6.8,15.2,0.446,2.5,7.1,0.349,4.3,8.1,0.531,1.6,2.3,0.714,2.6,9.4,12,4.6,0.7,1.5,3.5,6.9,17.6,,102,110
40,Dāvis Bertāns\bertada01,PF,27,WAS,54,4,1583,7.8,18,0.434,5.9,13.9,0.424,1.9,4.1,0.471,3.1,3.6,0.852,1,6.2,7.2,2.7,1.1,1,1.7,4.1,24.6,,120,117
41,Patrick Beverley\beverpa01,PG,31,LAC,48,48,1299,5,11.8,0.428,2.7,7.2,0.379,2.3,4.6,0.504,1,1.5,0.659,2,7.4,9.4,6.5,1.9,0.9,2.3,5.4,13.8,,115,106
42,Khem Birch\birchkh01,C,27,ORL,40,24,777,3.5,7.2,0.487,0,0.1,0,3.5,7.2,0.491,2.6,4.2,0.612,4.4,6.9,11.3,2.2,1,1.3,1.4,4.6,9.6,,116,110
43,Goga Bitadze\bitadgo01,C,20,IND,49,2,410,7.2,15.3,0.473,0.7,4.3,0.167,6.5,11.1,0.591,2.9,3.9,0.727,2.6,8.8,11.4,2.5,0.7,3.8,3,6.8,18.1,,100,106
44,Bismack Biyombo\biyombi01,C,27,CHO,53,29,1029,7.4,13.5,0.543,0,0,,7.4,13.5,0.543,4.4,7.4,0.603,5.8,9.2,15,2.4,0.5,2.4,2.3,5.6,19.1,,116,112
45,Nemanja Bjelica\bjeline01,PF,31,SAC,64,61,1821,7.7,16.2,0.475,3.3,7.9,0.424,4.3,8.3,0.524,1.6,2,0.822,2.9,8.2,11,4.8,1.4,0.9,2.5,5.2,20.3,,117,111
46,Eric Bledsoe\bledser01,PG,30,MIL,56,56,1524,9.6,19.9,0.482,2.1,6,0.348,7.5,13.8,0.54,4.7,5.8,0.813,1.2,6.5,7.8,9.1,1.6,0.7,4.2,3.6,25.9,,113,103
47,Bogdan Bogdanović\bogdabo01,SG,27,SAC,53,20,1510,8.9,20.6,0.433,4.4,12.3,0.361,4.5,8.4,0.541,2.5,3.4,0.724,0.5,5,5.5,5.5,1.7,0.5,2.9,3.7,24.8,,108,113
48,Bojan Bogdanović\bogdabo02,SF,30,UTA,63,63,2083,9.8,21.9,0.447,4.4,10.7,0.414,5.4,11.2,0.479,5.9,6.5,0.903,0.9,5.1,6.1,3.1,0.8,0.2,3.7,2.6,29.8,,111,113
49,Jonah Bolden\boldejo01,PF,24,TOT,7,0,47,4.1,11.2,0.364,0,4.1,0,4.1,7.1,0.571,2,4.1,0.5,3,6.1,9.1,0,3,2,2,10.2,10.2,,79,106
50,Marques Bolden\boldema01,C,21,CLE,1,0,3,0,0,,0,0,,0,0,,0,0,,0,32.4,32.4,0,16.2,0,0,16.2,0,,,69
51,Jordan Bone\bonejo01,PG,22,DET,10,0,53,4.6,18.6,0.25,1.9,9.3,0.2,2.8,9.3,0.3,0,0,,0,3.7,3.7,7.4,0.9,0,1.9,5.6,11.1,,76,117
52,Isaac Bonga\bongais01,SF,20,WAS,58,41,1025,4.4,8.4,0.522,1,2.5,0.4,3.4,5.9,0.574,2.4,2.9,0.813,2.8,5.6,8.3,2.8,1.7,1,1.9,6.2,12.1,,121,116
53,Devin Booker\bookede01,SG,23,PHO,62,62,2241,11.5,23.6,0.487,2.7,7.4,0.36,8.8,16.2,0.544,8.6,9.3,0.916,0.6,4.9,5.5,8.6,1,0.3,5.2,4,34.2,,114,115
54,Chris Boucher\bouchch01,PF,27,TOR,55,0,724,7.8,17.1,0.458,1.8,6.5,0.283,6,10.6,0.565,5.4,6.8,0.796,6.2,9.8,15.9,1.5,1.3,3.5,1.5,6.9,22.9,,122,101
55,Brian Bowen\bowenbr02,SG,21,IND,5,1,29,3.4,15.1,0.222,0,3.4,0,3.4,11.8,0.286,0,0,,1.7,10.1,11.8,0,0,1.7,1.7,3.4,6.7,,50,109
56,Ky Bowman\bowmaky01,PG,22,GSW,45,12,1015,6.3,15.1,0.417,1.6,5,0.308,4.8,10.1,0.472,1.6,1.9,0.829,1.1,4.6,5.7,6.2,2.1,0.5,3.3,4.8,15.8,,96,115
57,Avery Bradley\bradlav01,SG,29,LAL,49,44,1186,6.8,15.4,0.444,2.5,6.9,0.364,4.3,8.4,0.51,0.8,1,0.833,0.7,3.9,4.6,2.5,1.7,0.2,1.9,4.4,17,,104,109
58,Tony Bradley\bradlto01,C,22,UTA,50,2,535,9.4,14.1,0.665,0.1,0.1,1,9.3,14,0.662,2.4,3.6,0.65,8.2,11.5,19.7,1.5,1.1,2.3,2.1,8.9,21.2,,135,105
59,Jarrell Brantley\brantja01,PF,23,UTA,5,0,13,0,0,,0,0,,0,0,,0,0,,0,18.8,18.8,3.8,0,7.5,7.5,7.5,0,,27,97
60,Ignas Brazdeikis\brazdig01,SF,21,NYK,9,0,53,5.5,20.2,0.273,0.9,8.3,0.111,4.6,11.9,0.385,3.7,4.6,0.8,1.8,2.8,4.6,3.7,0,0.9,1.8,2.8,15.6,,82,119
61,Mikal Bridges\bridgmi01,SF,23,PHO,65,24,1772,5.6,10.9,0.516,1.5,4.2,0.352,4.1,6.6,0.621,2.4,2.8,0.848,1.6,5.3,6.9,3.1,2.5,1,1.7,3.8,15.1,,119,110
62,Miles Bridges\bridgmi02,SF,21,CHO,65,64,1995,8,18.9,0.424,2.5,7.5,0.33,5.5,11.4,0.486,2.7,3.3,0.809,2.2,6.9,9.1,2.9,1,1.2,2.4,3.3,21.2,,103,114
63,Oshae Brissett\brissos01,SF,21,TOR,19,0,135,4.6,12.7,0.361,1.1,5.3,0.2,3.5,7.4,0.476,2.8,3.5,0.8,3.2,6,9.2,2.5,1.4,0.4,2.5,6.4,13.1,,96,107
64,Ryan Broekhoff\broekry01,SG,29,DAL,17,1,180,5.9,15.9,0.373,5.4,13.7,0.392,0.5,2.2,0.25,1.9,2.2,0.875,1.3,10.2,11.6,3,1.3,1.1,1.6,4,19.1,,115,109
65,Malcolm Brogdon\brogdma01,PG,27,IND,48,48,1472,9.6,21.8,0.439,2,6.5,0.313,7.5,15.4,0.491,4.8,5.4,0.895,1.3,6.2,7.5,11.4,1.1,0.3,3.8,2.9,25.9,,110,111
66,Dillon Brooks\brookdi01,SG,24,MEM,65,65,1851,9.4,23.3,0.402,3.3,9,0.369,6.1,14.3,0.423,3.6,4.5,0.809,1.5,3.8,5.4,3.2,1.4,0.6,2.7,6.2,25.7,,100,113
67,Bruce Brown\brownbr01,SG,23,DET,58,43,1634,6,13.5,0.443,1,2.9,0.344,5,10.6,0.47,2.6,3.6,0.739,1.8,6.4,8.2,6.9,1.9,0.9,3,4.9,15.6,,106,112
68,Charlie Brown\brownch02,SG,22,ATL,10,0,40,7,22.1,0.316,3.5,10.5,0.333,3.5,11.6,0.3,5.8,5.8,1,2.3,2.3,4.7,2.3,2.3,2.3,3.5,3.5,23.3,,93,114
69,Jaylen Brown\brownja02,SF,23,BOS,50,50,1702,10.7,21.9,0.49,3,8,0.381,7.7,14,0.552,4.5,6.1,0.736,1.5,7.5,9,3.1,1.6,0.5,3.3,4.3,29,,111,108
70,Moses Brown\brownmo01,C,20,POR,9,0,33,5.8,14.4,0.4,0,0,,5.8,14.4,0.4,4.3,11.6,0.375,4.3,15.9,20.2,1.4,1.4,1.4,4.3,10.1,15.9,,81,107
71,Sterling Brown\brownst02,SF,24,MIL,45,1,665,5.5,15,0.367,2.5,7.8,0.316,3,7.1,0.423,1.9,2.4,0.771,1.9,9.4,11.3,3.2,1.5,0.5,2.5,3.1,15.3,,96,102
72,Troy Brown Jr.\browntr01,SG,20,WAS,61,14,1519,7,15.5,0.453,1.5,4.5,0.345,5.5,11.1,0.496,2.6,3.5,0.754,2,8,10,4.4,2.3,0.2,2,3.4,18.3,,110,114
73,Jalen Brunson\brunsja01,PG,23,DAL,57,16,1022,8.6,18.4,0.466,2,5.7,0.358,6.5,12.7,0.515,2.9,3.6,0.813,1,5.3,6.3,8.9,1,0.2,3.1,3.5,22.1,,114,113
