Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
372,Josh Okogie\okogijo01,SG,21,MIN,62,28,1547,5.1,11.9,0.427,1.2,4.6,0.266,3.9,7.3,0.529,4.6,5.7,0.796,2.6,5.4,8,3,2,0.8,2.6,4.2,16,,108,113
373,KZ Okpala\okpalkz01,SF,20,MIA,5,0,26,5.6,9.4,0.6,0,1.9,0,5.6,7.5,0.75,1.9,3.8,0.5,1.9,7.5,9.4,1.9,3.8,1.9,1.9,3.8,13.2,,110,103
374,Victor Oladipo\oladivi01,SG,27,IND,13,10,337,9.1,23.3,0.391,3,10,0.304,6.1,13.3,0.457,4.6,5.9,0.78,1,4.9,5.9,5.6,1.6,0.4,4,3,25.9,,96,110
375,Kelly Olynyk\olynyke01,C,28,MIA,59,6,1089,6.8,14.2,0.476,3.6,8.3,0.432,3.2,5.9,0.538,3.1,3.7,0.854,1.7,10,11.6,4.4,1.7,0.8,2.8,6.5,20.3,,117,108
376,Miye Oni\onimi01,SG,22,UTA,5,0,11,0,8.9,0,0,4.4,0,0,4.4,0,0,0,,0,8.9,8.9,0,0,0,4.4,0,0,,0,113
377,Cedi Osman\osmande01,SF,24,CLE,65,65,1910,6.8,15.5,0.437,3.1,8.2,0.383,3.6,7.3,0.497,1.6,2.4,0.67,1,4.9,5.9,3.9,1.4,0.4,2.3,4.1,18.3,,107,117
378,Kelly Oubre Jr.\oubreke01,SF,24,PHO,56,55,1933,9.1,20.2,0.452,2.6,7.5,0.352,6.5,12.7,0.511,4.7,6,0.78,1.6,7.2,8.8,2.1,1.7,1,2,4.7,25.6,,109,111
379,Tariq Owens\owensta01,PF,24,PHO,3,0,15,3.2,15.8,0.2,0,6.3,0,3.2,9.5,0.333,6.3,6.3,1,6.3,3.2,9.5,0,3.2,0,0,3.2,12.6,,95,111
380,Jeremy Pargo\pargoje01,PG,33,GSW,3,0,44,12,23.9,0.5,3.3,7.6,0.429,8.7,16.3,0.533,0,1.1,0,1.1,2.2,3.3,8.7,1.1,0,4.4,8.7,27.2,,103,119
381,Jabari Parker\parkeja01,PF,24,TOT,33,23,852,10.9,21.8,0.499,1.7,6.3,0.267,9.2,15.5,0.594,3,4.1,0.743,3,7.7,10.7,3.3,2.3,0.8,3.3,5.1,26.5,,106,113
382,Chandler Parsons\parsoch01,SF,31,ATL,5,0,54,4.3,15.5,0.278,3.5,12.1,0.286,0.9,3.5,0.25,0,0,,0.9,5.2,6,2.6,3.5,0.9,2.6,2.6,12.1,,77,112
383,Eric Paschall\pascher01,PF,23,GSW,60,26,1654,9.2,18.5,0.497,1.1,3.7,0.287,8.1,14.8,0.55,4.7,6.1,0.774,2.4,5.6,8,3.7,0.9,0.4,2.7,3.6,24.2,,110,117
384,Anžejs Pasečņiks\pasecan01,C,24,WAS,24,0,405,6.5,12.2,0.528,0,0.2,0,6.5,12,0.538,3.7,6.2,0.593,4.5,6.9,11.4,2,0.9,1.4,2.5,7.5,16.6,,110,116
385,Patrick Patterson\pattepa01,PF,30,LAC,51,18,607,5.9,14.6,0.404,4.3,11,0.387,1.6,3.6,0.457,2.1,2.6,0.794,2.3,7.1,9.4,2.4,0.5,0.2,1.4,3.2,18.2,,118,111
386,Justin Patton\pattoju01,C,22,OKC,5,0,24,8.1,20.3,0.4,2,8.1,0.25,6.1,12.2,0.5,0,0,,2,8.1,10.1,4.1,0,0,4.1,8.1,18.3,,86,113
387,Chris Paul\paulch01,PG,34,OKC,63,63,2003,9.6,19.6,0.489,2.5,6.8,0.362,7.1,12.8,0.557,5.5,6.1,0.9,0.5,7,7.5,10.4,2.4,0.2,3.3,3.4,27.1,,121,108
388,Elfrid Payton\paytoel01,PG,25,NYK,45,36,1246,7.5,17.2,0.439,0.5,2.7,0.203,7,14.5,0.482,1.9,3.4,0.57,2,6.3,8.3,12.6,2.7,0.7,3.8,3.5,17.5,,105,111
