,Unnamed: 0,2P,2PA,3P,3PA,Assist%,BLK%,Class,Close2,Close2A,Conference,DR%,Dunk,DunkA,EFG,FT,FTA,Far2,Far2A,Fouls/40,Height,Min%,Name,OR%,ORtg,PlayerID,Role,STL%,School,Season,TO%,TS%,USG,FGA,FG,3p%_eb,ft%_eb,far2p%_eb,3par_eb
45267,3190,1.0,3.0,0.0,0.0,31.2,0.0,,1.0,3.0,SWAC,34.1,0.0,0.0,33.3,0.0,0.0,0.0,0.0,5.7,-,0.6,Darryl Wright,43.2,88.7,30218.0,,0.0,Mississippi Valley St.,2014.0,24.1,33.33,32.1,3.0,1.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.20505878222803273
45302,3225,1.0,4.0,0.0,0.0,0.0,0.0,,,,SWAC,14.1,,,25.0,1.0,4.0,0.0,0.0,7.1,-,1.4,Obarcus Taylor,6.7,45.4,30339.0,,0.0,Jackson St.,2014.0,29.2,25.42,23.5,4.0,1.0,0.3381996010349285,0.6103674518456867,0.3513645762606503,0.17298474891323182
45364,3287,0.0,0.0,0.0,0.0,0.0,0.0,,,,BE,13.8,,,0.0,0.0,0.0,0.0,0.0,5.0,-,0.6,Tyler Walston,0.0,0.0,30491.0,,0.0,St. John's,2014.0,0.0,0.0,0.0,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
45404,3327,0.0,0.0,0.0,0.0,0.0,0.0,,,,B12,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-,0.1,Josh Clemons,0.0,0.0,30616.0,,0.0,Baylor,2014.0,100.0,0.0,31.0,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
45716,3639,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,SWAC,13.9,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,-,0.8,Floyddell Wilson,0.0,113.5,31461.0,,0.0,Grambling St.,2014.0,0.0,51.72,15.5,1.0,0.0,0.3381996010349285,0.6903179294332011,0.3484767107882694,0.3259199124035099
45719,3642,0.0,1.0,0.0,0.0,0.0,0.0,So,0.0,0.0,Horz,19.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.7,-,0.5,Khyler Fields,0.0,0.0,31466.0,,0.0,Cleveland St.,2014.0,0.0,0.0,6.7,1.0,0.0,0.3381996010349285,0.6789582925555722,0.3484767107882694,0.3259199124035099
45841,3764,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,SWAC,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-,0.3,Princeton Davis,26.2,41.3,31823.0,,0.0,Alabama St.,2014.0,0.0,0.0,17.6,0.0,0.0,0.3381996010349285,0.6199581643782494,0.3513645762606503,0.46210028487387694
46096,4019,0.0,0.0,0.0,0.0,0.0,0.0,,,,SWAC,0.0,,,0.0,0.0,0.0,0.0,0.0,13.3,-,0.5,Rasheed James,0.0,0.0,32516.0,,0.0,Jackson St.,2014.0,0.0,0.0,0.0,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
46129,4052,1.0,2.0,0.0,0.0,0.0,12.9,,1.0,2.0,MAAC,15.1,0.0,0.0,50.0,1.0,2.0,0.0,0.0,28.6,-,0.5,Kristian Duravcevic,0.0,102.2,32610.0,,0.0,Iona,2014.0,0.0,50.85,18.9,2.0,1.0,0.3381996010349285,0.6634071720892006,0.3513645762606503,0.2517341694385968
46229,4152,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,SB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-,0.3,Phillip Coleman,37.4,33.0,32845.0,,0.0,Troy,2014.0,0.0,0.0,31.4,2.0,0.0,0.3381996010349285,0.6789582925555722,0.3484767107882694,0.2517341694385968
46327,4250,0.0,0.0,0.0,0.0,0.0,0.0,,,,NEC,0.0,,,0.0,0.0,0.0,0.0,0.0,10.0,-,0.3,Darien Best,0.0,0.0,33117.0,,0.0,LIU Brooklyn,2014.0,0.0,0.0,0.0,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
46771,4694,0.0,0.0,0.0,0.0,0.0,0.0,,,,BE,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.1,Christian Jones,0.0,0.0,48465.0,,0.0,St. John's,2014.0,0.0,0.0,0.0,0.0,0.0,0.3381996010349285,0.6789582925555722,0.3513645762606503,0.46210028487387694
